GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,AREANAME,CENCNTY,CBD,SEA,C24001,C24002,C24003,C24004,C24005,C24006,C24007,C24008,C24009,C24010,C24011,C24012,C24013,C24014,C24015,C24016
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,"Autauga","1",,"05",159,190,215,402,1399,1373,1643,168,85,112,141,316,677,856,875,81
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,"Baldwin","1",,"08",451,585,483,1006,3030,2942,4719,685,167,384,432,572,1415,1761,2619,266
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,"Barbour","1",,"09",141,213,254,387,902,990,1777,237,58,105,190,303,567,713,1248,123
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,"Bibb","1",,"05",103,113,147,245,661,598,1035,151,24,57,58,135,351,387,539,54
"G0100090","1970","Alabama","01","Blount","009",,,,,,,"Blount","1",,"02",145,221,256,456,1619,1294,2286,291,43,156,204,196,704,630,997,65
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,"Bullock","1",,"06",60,118,100,150,404,406,828,127,29,54,38,86,318,330,598,39
"G0100130","1970","Alabama","01","Butler","013",,,,,,,"Butler","1",,"09",130,263,215,386,952,890,1815,209,66,133,191,211,552,637,1241,154
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,"Calhoun","1",,"03",642,1253,2075,2517,5607,5113,7862,600,272,1469,1388,1564,3019,3354,4397,351
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,"Chambers","1",,"04",288,384,388,524,1864,1559,3310,320,105,273,252,541,1301,1295,2707,142
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,"Cherokee","1",,"03",69,151,144,264,837,829,1355,127,47,81,186,204,497,544,572,45
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,"Chilton","1",,"05",140,223,277,484,1310,1179,2123,213,51,137,177,202,458,589,957,81
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,"Choctaw","1",,"07",68,113,185,252,904,650,1069,112,29,48,64,120,401,374,493,20
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,"Clarke","1",,"07",128,237,197,494,1436,1223,1849,258,44,91,121,193,646,575,1056,102
"G0100270","1970","Alabama","01","Clay","027",,,,,,,"Clay","1",,"04",23,86,147,270,590,569,1000,135,37,103,83,142,335,398,675,84
